Zipcode,Median income
14228,85666
14261,-
14301,37847
14302,-
14303,27768
14304,70869
14305,48125
14411,59713
14414,82976
14415,75000
14416,76777
14418,58750
14420,76367
14422,78913
14423,68529
14424,92538
14425,86875
14427,64643
14428,85677
14432,68155
14433,61419
14435,89208
14437,69387
14441,55625
14445,70083
14450,105097
14454,80649
14456,66597
14462,88036
14464,74875
14466,79135
14467,82292
14468,89759
14469,74899
14470,63182
14471,79750
14472,113382
14475,103333
14476,66250
14477,71477
14478,100769
14479,82083
14480,48302
14481,75000
14482,84815
14485,85968
14486,88214
14487,85144
14489,68158
14502,85130
14504,59261
14505,63534
14506,173250
14507,71042
14510,66231
14511,80121
14512,67917
14513,59792
14514,88214
14516,69955
14517,69722
14519,91696
14521,59821
14522,77857
14525,81563
14526,108192
14527,78785
14529,-
14530,58964
14532,87292
14533,80750
14534,141779
14536,63676
14537,-
14539,-
14541,68036
14542,58750
14543,106833
14544,69375
14545,69167
14546,83377
14548,78384
14549,-
14550,63618
14551,54773
14555,54886
14559,93276
14560,66184
14561,75429
14564,129348
14568,89276
14569,69528
14571,61853
14572,65560
14580,102365
14585,56250
14586,102840
14588,104250
14589,78542
14590,60614
14591,68487
14592,126250
14604,97500
14605,25373
14606,54415
14607,85701
14608,27483
14609,53121
14610,109961
14611,34844
14612,82973
14613,36194
14614,-
14615,48026
14616,61483
14617,89245
14618,124410
14619,52590
14620,65851
14621,32932
14622,75886
14623,70588
14624,84331
14625,104545
14626,84084
14627,-
14701,54507
14706,75182
14707,51406
14708,84167
14709,55341
14710,71172
14711,55227
14712,77121
14714,61667
14715,58021
14716,49205
14717,53125
14718,74297
14719,58125
14720,42813
14721,43382
14722,-
14723,80982
14724,64583
14726,42723
14727,65509
14728,57440
14729,68750
14731,72917
14732,51250
14733,54313
14735,45714
14736,68333
14737,52988
14738,65912
14739,56944
14740,71333
14741,69115
14742,103787
14743,52537
14744,76250
14747,69097
14748,42083
14750,86742
14752,-
14753,56875
14754,63654
14755,57596
14756,-
14757,66690
14760,64801
14767,61250
14769,53350
14770,55833
14772,64076
14774,46250
14775,57292
14777,48750
14778,-
14779,43071
14781,64706
14782,53036
14783,65417
14784,80789
14787,71974
14788,-
14801,61266
14802,91250
14803,67750
14804,78393
14805,68750
14806,63400
14807,66750
14808,59000
14809,59904
14810,59387
14812,68850
14813,57232
14814,101979
14815,67500
14816,74911
14817,68036
14818,73413
14819,45625
14820,57917
14821,75552
14822,57083
14823,70924
14824,59107
14825,78160
14826,63333
14827,66042
14830,75770
14836,95625
14837,65173
14838,60375
14839,60833
14840,69491
14841,78942
14842,56971
14843,56214
14845,78986
14846,63750
14847,71607
14850,92215
14853,-
14854,-
14855,57000
14856,-
14858,74464
14859,54107
14860,63824
14861,53864
14864,80987
14865,72254
14867,67768
14869,70625
14870,97425
14871,88229
14872,80938
14873,55250
14874,61146
14877,57500
14878,68750
14879,57333
14880,60263
14881,-
14882,106794
14883,64464
14884,52000
14885,52109
14886,80945
14889,65703
14891,63365
14892,57628
14893,-
14894,58125
14895,62543
14897,45455
14898,55179
14901,42036
14903,81382
14904,59597
14905,73558
