Borough,zipcode,City,highschool_graduation_rate,College Enrollment Rate,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude
Bronx,10457, BRONX,83.0,69.0,38096,True,True,40.8398672,-73.9111588
Bronx,10451, BRONX,77.0,70.0,37332,True,True,40.827572,-73.9189269
Bronx,10456, BRONX,72.0,32.0,35269,True,False,40.8338446,-73.9039243
Bronx,10457, BRONX,61.0,37.0,38096,True,False,40.8434287,-73.90310939999999
Bronx,10456, BRONX,62.0,30.0,35269,True,False,40.8273033,-73.9045097
Bronx,10453, BRONX,83.0,61.0,33760,True,True,40.8485793,-73.90874579999999
Bronx,10463, BRONX,60.0,50.0,66470,True,True,40.8877008,-73.91360499999999
Bronx,10463, BRONX,76.0,72.0,66470,True,True,40.8771416,-73.91268389999999
Bronx,10457, BRONX,68.0,53.0,38096,True,True,40.8546548,-73.8970362
Bronx,10463, BRONX,65.0,40.0,66470,True,False,40.8756546,-73.90162769999999
Bronx,10458, BRONX,57.0,40.0,38624,False,False,40.8554112,-73.8824863
Bronx,10468, BRONX,65.0,47.0,41488,True,True,40.8704171,-73.8969711
Bronx,10463, BRONX,61.0,37.0,66470,True,False,40.8771416,-73.91268389999999
Bronx,10468, BRONX,90.0,58.0,41488,True,True,40.8812165,-73.8875851
Bronx,10463, BRONX,83.0,63.0,66470,True,True,40.8790763,-73.91129529999999
Bronx,10458, BRONX,72.0,39.0,38624,True,False,40.8594021,-73.88867429999999
Bronx,10468, BRONX,70.0,48.0,41488,True,True,40.8704171,-73.8969711
Bronx,10458, BRONX,77.0,44.0,38624,True,True,40.8594021,-73.88867429999999
Bronx,10458, BRONX,40.0,22.0,38624,False,False,40.8594021,-73.88867429999999
Bronx,10458, BRONX,75.0,41.0,38624,True,False,40.8594021,-73.88867429999999
Bronx,10458, BRONX,45.0,39.0,38624,False,False,40.8594021,-73.88867429999999
Bronx,10468, BRONX,89.0,62.0,41488,True,True,40.8812165,-73.8875851
Bronx,10468, BRONX,100.0,96.0,41488,True,True,40.8704171,-73.8969711
Bronx,10468, BRONX,91.0,76.0,41488,True,True,40.8785082,-73.8908792
Bronx,10458, BRONX,71.0,54.0,38624,True,True,40.8554112,-73.8824863
Bronx,10463, BRONX,63.0,29.0,66470,True,False,40.8771416,-73.91268389999999
Bronx,10458, BRONX,100.0,99.0,38624,True,True,40.8554112,-73.8824863
Bronx,10468, BRONX,97.0,67.0,41488,True,True,40.8746754,-73.8950672
Bronx,10475, BRONX,62.0,18.0,67383,True,False,40.8748243,-73.8323492
Bronx,10467, BRONX,69.0,41.0,46530,True,False,40.8751267,-73.8617246
Bronx,10467, BRONX,68.0,43.0,46530,True,True,40.8751267,-73.8617246
Bronx,10466, BRONX,85.0,53.0,67912,True,True,40.8880644,-73.8527494
Bronx,10467, BRONX,82.0,72.0,46530,True,True,40.8751267,-73.8617246
Bronx,10469, BRONX,70.0,62.0,73973,True,True,40.8602833,-73.8603759
