DBN,School Name,Borough,zipcode,Primary_Address_Line_1,City,State_Code,highschool_graduation_rate,Borough_Highschool_graduation_rate,College Enrollment Rate,Borough College Enrollment Rate,has_data,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude,Address
03M492,"High School for Law, Advocacy and Community Justice",Manhattan,10023,122 AMSTERDAM AVENUE, MANHATTAN,NY,72.0,70,48.0,53,True,228389,True,False,40.7748463,-73.9856659,"122 AMSTERDAM AVENUE,  MANHATTAN, NY"
08X320,Pelham Lab High School,Bronx,10461,3000 EAST TREMONT AVENUE, BRONX,NY,61.0,70,39.0,53,True,68066,False,False,40.8398166,-73.83795490000001,"3000 EAST TREMONT AVENUE,  BRONX, NY"
03M494,High School of Arts and Technology,Manhattan,10023,122 AMSTERDAM AVENUE, MANHATTAN,NY,98.0,70,89.0,53,True,228389,True,True,40.7748463,-73.9856659,"122 AMSTERDAM AVENUE,  MANHATTAN, NY"
03M859,Special Music School,Manhattan,10023,129 WEST 67 STREET, MANHATTAN,NY,73.0,70,42.0,53,True,228389,True,False,40.7752559,-73.98298,"129 WEST 67 STREET,  MANHATTAN, NY"
04M372,ESPERANZA PREPARATORY ACADEMY,Manhattan,10029,240 EAST 109 STREET, MANHATTAN,NY,27.0,70,30.0,53,True,39845,False,False,40.792727,-73.9421359,"240 EAST 109 STREET,  MANHATTAN, NY"
04M409,Coalition School for Social Change,Manhattan,10035,2351 1ST AVENUE, MANHATTAN,NY,94.0,70,77.0,53,True,36645,True,True,40.7992798,-73.93391609999999,"2351 1ST AVENUE,  MANHATTAN, NY"
04M435,Manhattan Center for Science and Mathematics,Manhattan,10029,260 PLEASANT AVENUE, MANHATTAN,NY,93.0,70,55.0,53,True,39845,True,True,40.7940949,-73.932745,"260 PLEASANT AVENUE,  MANHATTAN, NY"
04M495,Park East High School,Manhattan,10029,230 EAST 105 STREET, MANHATTAN,NY,98.0,70,77.0,53,True,39845,True,True,40.7902049,-73.9441678,"230 EAST 105 STREET,  MANHATTAN, NY"
04M555,Central Park East High School,Manhattan,10029,1573 MADISON AVENUE, MANHATTAN,NY,100.0,70,97.0,53,True,39845,True,True,40.7936872,-73.9486109,"1573 MADISON AVENUE,  MANHATTAN, NY"
04M610,Young Women's Leadership School,Manhattan,10029,105 EAST 106TH STREET, NEW YORK,NY,70.0,70,33.0,53,True,39845,False,False,40.792935,-73.94716799999999,"105 EAST 106TH STREET,  NEW YORK, NY"
05M157,The Urban Assembly School for Global Commerce,Manhattan,10035,2005 MADISON AVENUE, MANHATTAN,NY,66.0,70,47.0,53,True,36645,False,False,40.80706259999999,-73.9388293,"2005 MADISON AVENUE,  MANHATTAN, NY"
05M304,Mott Hall High School,Manhattan,10030,6 EDGECOMBE AVENUE, MANHATTAN,NY,99.0,70,50.0,53,True,53586,True,False,40.8174596,-73.94714139999999,"6 EDGECOMBE AVENUE,  MANHATTAN, NY"
05M362,Columbia Secondary School,Manhattan,10027,425 WEST 123 STREET, MANHATTAN,NY,45.0,70,46.0,53,True,58680,False,False,40.810687,-73.95606099999999,"425 WEST 123 STREET,  MANHATTAN, NY"
05M367,Academy for Social Action: A College Board School,Manhattan,10027,509 WEST 129 STREET, MANHATTAN,NY,77.0,70,49.0,53,True,58680,True,False,40.8156813,-73.95577449999999,"509 WEST 129 STREET,  MANHATTAN, NY"
05M369,Urban Assembly School for the Performing Arts,Manhattan,10027,509 WEST 129 STREET, MANHATTAN,NY,68.0,70,78.0,53,True,58680,False,True,40.8156813,-73.95577449999999,"509 WEST 129 STREET,  MANHATTAN, NY"
05M499,Frederick Douglass Academy,Manhattan,10039,2581 7TH AVENUE, MANHATTAN,NY,84.0,70,78.0,53,True,44253,True,True,40.8243981,-73.936545,"2581 7TH AVENUE,  MANHATTAN, NY"
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,10030,200-214 WEST 135TH STREET, MANHATTAN,NY,99.0,70,95.0,53,True,53586,True,True,40.8152484,-73.9443203,"200-214 WEST 135TH STREET,  MANHATTAN, NY"
06M211,Inwood Early College for Health and Information Technologies,Manhattan,10034,650 ACADEMY STREET, MANHATTAN,NY,97.0,70,86.0,53,True,56284,True,True,40.8659143,-73.925157,"650 ACADEMY STREET,  MANHATTAN, NY"
06M293,City College Academy of the Arts,Manhattan,10040,4600 BROADWAY, MANHATTAN,NY,62.0,70,48.0,53,True,56530,False,False,40.8608344,-73.9300119,"4600 BROADWAY,  MANHATTAN, NY"
06M346,Community Health Academy of the Heights,Manhattan,10032,504 WEST 158TH STREET, MANHATTAN,NY,78.0,70,58.0,53,True,58919,True,True,40.833638,-73.9422605,"504 WEST 158TH STREET,  MANHATTAN, NY"
06M423,High School for Excellence and Innovation,Manhattan,10034,650 ACADEMY STREET, MANHATTAN,NY,55.0,70,40.0,53,True,56284,False,False,40.8659143,-73.925157,"650 ACADEMY STREET,  MANHATTAN, NY"
06M462,The College Academy,Manhattan,10040,549 AUDUBON AVENUE, MANHATTAN,NY,61.0,70,33.0,53,True,56530,False,False,40.8564966,-73.92606219999999,"549 AUDUBON AVENUE,  MANHATTAN, NY"
06M463,High School for Media and Communications,Manhattan,10040,549 AUDUBON AVENUE, MANHATTAN,NY,69.0,70,50.0,53,True,56530,False,False,40.8564966,-73.92606219999999,"549 AUDUBON AVENUE,  MANHATTAN, NY"
06M467,High School for Law and Public Service,Manhattan,10040,549 AUDUBON AVENUE, MANHATTAN,NY,59.0,70,35.0,53,True,56530,False,False,40.8564966,-73.92606219999999,"549 AUDUBON AVENUE,  MANHATTAN, NY"
06M468,High School for Health Careers and Sciences,Manhattan,10040,549 AUDUBON AVENUE, MANHATTAN,NY,76.0,70,49.0,53,True,56530,True,False,40.8564966,-73.92606219999999,"549 AUDUBON AVENUE,  MANHATTAN, NY"
06M540,A. Philip Randolph Campus High School,Manhattan,10031,443 WEST 135 STREET, MANHATTAN,NY,56.0,70,45.0,53,True,54699,False,False,40.8183388,-73.9501311,"443 WEST 135 STREET,  MANHATTAN, NY"
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,10032,501 WEST 165TH, MANHATTAN,NY,87.0,59,51.0,41,True,58919,True,True,40.83846,-73.9386364,"501 WEST 165TH,  MANHATTAN, NY"
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",Bronx,10455,455 SOUTHERN BLVD, BRONX,NY,40.0,59,19.0,41,True,33920,False,False,40.8104034,-73.9073691,"455 SOUTHERN BLVD,  BRONX, NY"
07X334,International Community High School,Bronx,10454,345 BROOK AVENUE, BRONX,NY,63.0,59,46.0,41,True,30076,True,True,40.8101969,-73.91862189999999,"345 BROOK AVENUE,  BRONX, NY"
07X427,Community School for Social Justice,Bronx,10451,350 GERARD AVENUE, BRONX,NY,57.0,59,27.0,41,True,37332,False,False,40.815542,-73.9304433,"350 GERARD AVENUE,  BRONX, NY"
07X473,Mott Haven Village Preparatory High School,Bronx,10455,701 ST. ANNS AVENUE, BRONX,NY,94.0,59,65.0,41,True,33920,True,True,40.8179909,-73.9116769,"701 ST. ANNS AVENUE,  BRONX, NY"
07X495,University Heights Secondary School,Bronx,10455,701 ST. ANNS AVENUE, BRONX,NY,88.0,59,64.0,41,True,33920,True,True,40.8179909,-73.9116769,"701 ST. ANNS AVENUE,  BRONX, NY"
07X500,Hostos-Lincoln Academy of Science,Bronx,10455,600 SAINT ANN'S AVENUE, BRONX,NY,42.0,59,41.0,41,True,33920,False,False,40.8148083,-73.9120169,"600 SAINT ANN'S AVENUE,  BRONX, NY"
07X522,Bronx Design and Construction Academy,Bronx,10451,333 EAST 151 STREET, BRONX,NY,65.0,59,55.0,41,True,37332,True,True,40.8184997,-73.9195405,"333 EAST 151 STREET,  BRONX, NY"
07X527,Bronx Leadership Academy II High School,Bronx,10451,730 CONCOURSE VILLAGE WEST, BRONX,NY,54.0,59,28.0,41,True,37332,False,False,40.8215543,-73.9231229,"730 CONCOURSE VILLAGE WEST,  BRONX, NY"
