iter	Passed	Remaining
261	1234	3476
262	1237	3467
263	1239	3454
264	1242	3446
265	1245	3437
266	1247	3423
267	1252	3422
268	1258	3420
269	1263	3416
270	1268	3413
271	1271	3402
272	1274	3394
273	1276	3381
274	1277	3368
275	1278	3354
276	1279	3340
277	1280	3326
278	1281	3312
279	1283	3300
280	1284	3286
281	1285	3273
282	1286	3260
283	1293	3261
284	1298	3257
285	1302	3252
286	1308	3249
287	1312	3243
288	1314	3233
289	1316	3222
290	1318	3213
291	1321	3203
292	1322	3190
293	1323	3177
294	1325	3168
295	1331	3166
296	1333	3157
297	1339	3155
298	1342	3147
299	1346	3141
300	1348	3131
301	1356	3136
302	1360	3129
303	1361	3117
304	1365	3111
305	1366	3100
306	1368	3089
307	1370	3079
308	1372	3068
309	1374	3060
310	1377	3052
311	1379	3041
312	1381	3033
313	1383	3023
314	1385	3012
315	1387	3002
316	1388	2992
317	1390	2981
318	1392	2972
319	1396	2966
320	1397	2955
321	1398	2944
322	1400	2934
323	1401	2923
324	1402	2912
325	1404	2903
326	1405	2892
327	1406	2881
328	1408	2872
329	1412	2867
330	1415	2860
331	1417	2852
332	1420	2845
333	1422	2835
334	1424	2828
335	1427	2820
336	1428	2810
337	1429	2800
338	1431	2791
339	1434	2785
340	1436	2776
341	1438	2767
342	1439	2758
343	1443	2752
344	1444	2742
345	1446	2733
346	1448	2725
347	1451	2719
348	1453	2711
349	1454	2702
350	1459	2698
351	1462	2692
352	1465	2685
353	1469	2681
354	1472	2675
355	1476	2671
356	1480	2667
357	1484	2662
358	1488	2657
359	1494	2657
360	1498	2652
361	1502	2647
362	1509	2648
363	1511	2640
364	1514	2635
365	1516	2626
366	1521	2624
367	1526	2621
368	1527	2612
369	1532	2609
370	1535	2603
371	1537	2594
372	1539	2587
373	1542	2581
374	1550	2583
375	1553	2578
376	1555	2570
377	1560	2567
378	1563	2562
379	1565	2554
380	1566	2545
381	1568	2537
382	1573	2534
383	1577	2531
384	1579	2523
385	1582	2517
386	1588	2515
387	1593	2513
388	1599	2512
389	1604	2509
390	1607	2504
391	1610	2498
392	1615	2494
393	1620	2492
394	1625	2489
395	1629	2485
396	1632	2479
397	1637	2477
398	1643	2475
399	1648	2472
400	1652	2469
401	1653	2460
402	1654	2451
403	1656	2443
404	1657	2434
405	1658	2426
406	1659	2418
407	1662	2412
408	1664	2405
409	1667	2399
410	1676	2402
411	1684	2403
412	1691	2403
413	1697	2402
414	1703	2401
415	1711	2403
416	1720	2406
417	1728	2406
418	1729	2398
419	1730	2390
420	1734	2385
421	1738	2380
422	1739	2372
